"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"395","Khy Kabellis","Pacific","WCC","18","25.2","72.1","20.4","39.7","39.77","1.2","9.1","11.6","24.2","7","18","0.389","15","50","0.3","13","37","0.351","0.5","1.8","20.7","Jr","6-5","11","-0.821349","72.37","1.6","2019","43563","all","UC Riverside","0","0","0","0","0","0","0","0","0","0","0","0","105.561","1.33574","0","-6.52083","-5.73896","-0.781873","-5.834"
"396","Joey Brunk","Butler","BE","33","46.1","119","20.3","62","63.38","9","14.6","10.6","15.3","59","91","0.648","94","151","0.623","1","3","0.333","1.2","0.5","59.1","So","6-11","50","2.43743","124.537","3.2","2019","44792","all","Indiana","0","0","0","0","0","0","0","0","0","0","0","0","103.282","1.60918","0","2.78382","2.76604","0.0177846","2.421"
"397","Tyler Scanlon","Boston University","Pat","32","83.3","108.3","22.4","53.2","56.03","3.2","15.9","18.6","17.7","60","75","0.8","115","211","0.545","50","146","0.342","0.6","2.4","21","Jr","6-7","2","2.55217","108.518","1.8","2019","46270","all","Belmont","0","0","0","0","0","0","0","0","0","0","0","0","108.614","2.29103","0","1.52063","2.14776","-0.627132","2.265"
"398","Souley Boum","San Francisco","WCC","35","46.3","97.3","30.1","43.6","51.55","3.3","12.2","10.7","16.7","118","142","0.831","65","176","0.369","45","128","0.352","0.8","1.6","46.7","Fr","6-3","0","1.46752","108.512","3.3","2018","51170","all","UTEP","0","0","0","0","0","0","0","0","0","0","0","0","102.104","1.90631","0","-2.95048","-1.39281","-1.55767","0.424"
"399","Devin Haygood","Youngstown St.","Horz","29","47.5","94.1","18","54","54.13","8.8","16.8","5.6","26","22","42","0.524","81","149","0.544","0","1","0","6.7","0.9","28","Jr","6-7","2","0.260019","91.2678","7.2","2018","42448","all","North Carolina A&T","0","0","0","0","0","0","0","0","0","0","0","0","115.931","0.922605","0","-3.38319","-3.43407","0.0508723","-5.82"
"400","Austin Vereen","VMI","SC","28","70.1","100.8","20.5","47.3","51.95","4.2","15.2","8.7","13.9","63","79","0.797","33","86","0.384","59","171","0.345","1.7","2.2","30.7","Jr","6-4","0","1.08539","98.6129","2.7","2018","42378","all","Pacific","0","0","0","0","0","0","0","0","0","0","0","0","107.255","2.15985","0","-0.650153","-0.29066","-0.359493","-0.528"
"401","Anthony Tarke","NJIT","ASun","28","79.5","97.6","26.6","44.4","47.6","5.4","17.1","12.7","13","87","138","0.63","112","246","0.455","39","138","0.283","2.7","2.3","35.9","So","6-6","12","1.45938","100.687","2.8","2018","46423","all","UTEP","0","0","0","0","0","0","0","0","0","0","0","0","103.61","2.8509","0","-1.22271","-1.41276","0.190054","0.227"
"402","Jamil Jackson","Southern Utah","BSky","4","5.4","93","12.8","46.2","50.18","1.7","1.8","8.5","19.7","2","2","1","6","11","0.545","0","2","0","1.6","0.8","15.4","So","6-6","1","-0.131714","85.1201","4.9","2018","50626","all","IUPUI","0","0","0","0","0","0","0","0","0","0","0","0","114.509","0.842842","0","-5.80422","-3.81469","-1.98953","-6.385"
"403","Evan Clayborne","Cleveland St.","Horz","24","17.5","81.4","21.6","50.8","49.98","10.8","13.9","2.7","28","8","19","0.421","32","63","0.508","0","0","0","7.5","1.5","30.2","So","6-8","22","-0.19388","81.8105","8","2018","47405","all","North Carolina Central","0","0","0","0","0","0","0","0","0","0","0","0","109.74","0.67708","0","-6.92816","-7.77269","0.844537","-7.353"
"404","Jordan Walker","Seton Hall","BE","17","9","82.1","19.6","41.9","42.23","1.8","6.3","19.4","27.8","5","12","0.417","4","12","0.333","6","19","0.316","0.9","2.7","38.7","Fr","5-11","2","-0.0456202","85.6256","9.4","2018","50468","all","Tulane","0","0","0","0","0","0","0","0","0","0","0","0","97.0646","0.807298","0","-2.16632","-1.85339","-0.312927","-4.832"
