,Player,School,Conference,GP,Min%,ORTG,USG,EFG,OR%,DR%,AST%,TOV%,BLK%,STL%,FTR,Year,Height,DBPM
4603,Issa Muhammad,New Mexico St.,WAC,20,59.4,109,17.4,58.5,5.9,18.6,4.2,13.7,2.4,1.2,33.8,Jr,9-Jun,-0.332404
4604,Patrick Cartier,Colorado St.,MWC,32,55.1,116.4,24.4,67.6,5.3,11.9,11.6,16.7,0.5,1.4,39.3,Sr,8-Jun,-0.383316
4605,Quest Aldridge,Gardner Webb,BSth,29,48.4,87.2,19.3,44.2,1.1,12.4,12.2,19.6,0.4,2.5,6.1,Sr,4-Jun,0.339955
4606,Dorian Finister,Kansas St.,B12,6,3.6,124.5,12.4,60,4.6,25.9,23.5,17.3,0,2.1,0,Fr,5-Jun,3.88984
4607,Jerrell Roberson,James Madison,SB,8,3,84,20.9,38.5,9.1,12.4,0,7.2,0,0,46.2,Fr,9-Jun,-5.33207
4608,Brycen Blaine,James Madison,SB,6,2.5,85.9,32.8,61.1,3.7,15.3,31.6,33.8,0,3.7,88.9,Fr,5-Jun,-0.905275
4609,Xavier Brown,James Madison,SB,24,17.2,97.6,14.4,51.2,2.7,12.6,18.3,27.6,1.1,2.9,9.5,Fr,2-Jun,2.22177
4610,Travis Roberts,Jacksonville St.,ASun,28,27.8,101.6,14.9,56.3,1.9,10.6,6,20.8,0.9,1.2,16.7,Fr,6-Jun,-0.980112
4611,Demarion Watson,Iowa St.,B12,29,25.7,86.4,12,40.4,9.4,18.4,5.1,23.7,6.9,1.6,26.9,Fr,6-Jun,3.05663
4612,Tamin Lipsey,Iowa St.,B12,33,73.2,102.2,18.5,49.5,5.7,11.5,28.4,27.4,0.5,4.6,29.1,Fr,1-Jun,5.24774
4613,Eli King,Iowa St.,B12,9,2.3,96.7,21.1,43.8,0,21.6,12.2,18.7,0,0,75,Fr,3-Jun,0.980435
4614,Seth Dawson,Coastal Carolina,SB,4,1,48.2,11.4,0,10.2,10.2,14.8,46.7,0,0,0,Sr,5-Jun,-5.03333
4615,Simeon Cottle,Kennesaw St.,ASun,30,22.2,92.7,20.7,46.4,0.8,7.9,16.9,23.2,0.4,2,26.2,Fr,1-Jun,-0.403887
4616,Maliq Brown,Syracuse,ACC,29,45.3,127.2,13.4,69.8,11.4,14.1,7.2,17.2,3,2.6,28.3,Fr,8-Jun,0.796002
4617,Bryson Dawkins,North Alabama,ASun,20,14.3,103.4,18.8,58.8,10.6,13.1,5.6,17.7,1.2,3.7,50,Fr,3-Jun,0.457992
4618,Chris Bell,Syracuse,ACC,30,46.6,101.7,16.1,51.1,1.4,8.5,4.2,13.9,1.9,0.7,11.2,Fr,7-Jun,-1.48605
4619,Lamine Niang,Cal St. Northridge,BW,16,7.1,68.2,11.5,27.3,5.4,20.1,0,31.3,8.5,0.7,36.4,Fr,10-Jun,0.0401637
4620,Kaseem Watson,Cal St. Bakersfield,BW,22,19,99.6,17.4,48.5,4.1,10,5.2,12.1,0,0.3,18.2,Fr,7-Jun,-2.53729
4621,Johnnie Walter,Cal St. Northridge,BW,24,18.8,62.6,11.8,30.6,5.6,16.7,3.8,27.6,2.7,1.4,5.6,Fr,9-Jun,-0.896749
4622,Cedquavious Hunter,Cal St. Bakersfield,BW,30,28.3,72.7,17.2,32.7,1,11.2,6.1,14.4,0,2.1,16.3,Fr,Jun-00,-0.534237
4623,Cam Slaymaker,Cal St. Northridge,BW,24,23.2,81.9,14.3,35.5,0.4,8.3,6.4,15.3,0,1.8,25.8,Fr,4-Jun,-1.59463
